code	company	a	b	aclose	bclose	diff	average	updown	mainItem	
"063080"	"컴투스홀딩스"	"2021-12-15"	"2021-12-22"	"132900"	"168800"	"35900"	"153267"	"down"	"모바일게임"	
"001530"	"디아이동일"	"2021-12-15"	"2021-12-22"	"252000"	"281000"	"29000"	"270333"	"down"	"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출"	
"112040"	"위메이드"	"2021-12-15"	"2021-12-22"	"157700"	"181400"	"23700"	"164167"	"down"	"미르의전설2"	
"042420"	"네오위즈홀딩스"	"2021-12-15"	"2021-12-22"	"58000"	"73600"	"15600"	"59967"	"down"	"지주사업"	
"950180"	"SNK"	"2021-12-15"	"2021-12-22"	"20850"	"36150"	"15300"	"32950"	"down"	"IP 라이센스, 콘솔, 모바일 게임"	
"383220"	"F&F"	"2021-12-15"	"2021-12-22"	"870000"	"885000"	"15000"	"897000"	"up"	"MLB, MLB KIDS, DISCOVERY 등 패션의류제품"	
"010130"	"고려아연"	"2021-12-15"	"2021-12-22"	"509000"	"524000"	"15000"	"520000"	"down"	"연,아연괴 제조,판매"	
"035510"	"신세계I&C"	"2021-12-15"	"2021-12-22"	"179000"	"191500"	"12500"	"189667"	"down"	"IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권"	
"078340"	"컴투스"	"2021-12-15"	"2021-12-22"	"144500"	"156700"	"12200"	"154467"	"down"	"모바일게임"	
"018670"	"SK가스"	"2021-12-15"	"2021-12-22"	"120000"	"131500"	"11500"	"125333"	"down"	"액화석유가스,가스기기 판매,수입,저장"	
"005290"	"동진쎄미켐"	"2021-12-15"	"2021-12-22"	"31500"	"42850"	"11350"	"37033"	"down"	"반도체,LCD용재료(감광제,봉지제),발포제"	
"086280"	"현대글로비스"	"2021-12-15"	"2021-12-22"	"158500"	"168500"	"10000"	"167000"	"down"	"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대"	
"002420"	"세기상사"	"2021-12-15"	"2021-12-22"	"6160"	"16050"	"9890"	"6160"	"down"	"극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대"	
"123420"	"선데이토즈"	"2021-12-15"	"2021-12-22"	"27500"	"37050"	"9550"	"36100"	"down"	"모바일게임"	
"012330"	"현대모비스"	"2021-12-15"	"2021-12-22"	"242000"	"250500"	"8500"	"242833"	"down"	"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)"	
"352820"	"하이브"	"2021-12-15"	"2021-12-22"	"332500"	"341000"	"8500"	"331000"	"down"	"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트"	
"402340"	"SK스퀘어"	"2021-12-15"	"2021-12-22"	"58200"	"65700"	"7500"	"58767"	"down"	"지주회사"	
"268280"	"미원에스씨"	"2021-12-15"	"2021-12-22"	"202000"	"209000"	"7000"	"208000"	"down"	"에너지경화수지"	
"000670"	"영풍"	"2021-12-15"	"2021-12-22"	"653000"	"660000"	"7000"	"658667"	"down"	"제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역"	
"020150"	"일진머티리얼즈"	"2021-12-15"	"2021-12-22"	"118500"	"125500"	"7000"	"120667"	"down"	"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매"	
"221800"	"유투바이오"	"2021-12-15"	"2021-12-22"	"23000"	"29950"	"6950"	"27483"	"down"	"유전자 분석 서비스"	
"048260"	"오스템임플란트"	"2021-12-15"	"2021-12-22"	"129700"	"136600"	"6900"	"137667"	"up"	"치과용임플란트"	
"017670"	"SK텔레콤"	"2021-12-15"	"2021-12-22"	"56000"	"62600"	"6600"	"61233"	"down"	"이동전화,무선호출서비스,부가통신"	
"348210"	"넥스틴"	"2021-12-15"	"2021-12-22"	"50900"	"57300"	"6400"	"54733"	"down"	"반도체 전공정용 패턴결함 검사장비(AEGIS 등)"	
